type,canonical,alias,language,category,confidence,notes
brand,Artisan savonnier,Artisan savonnier,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,astellas,astellas,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Astera,Astera,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Astérale,Astérale,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Atelier Populaire,Atelier Populaire,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Athena,Athena,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Atoa,Atoa,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Au Savon de Marseille,Au Savon de Marseille,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,auchan,auchan,brand,beauty,0.91,open_facts:en.openfoodfacts.org.products.csv.gz; count=1992
brand,auchan 1er prix,auchan 1er prix,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Aumyana,Aumyana,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Aurodhea Chogan,Aurodhea Chogan,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Aux grandes Z'oreilles,Aux grandes Z'oreilles,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,AVA,AVA,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Avalon Organics,Avalon Organics,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,AVEO,AVEO,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Avon Anew,Avon Anew,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,avon care,avon care,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Avène Eau Thermale,Avène Eau Thermale,brand,beauty,0.88,open_facts:en.openbeautyfacts.org.products.csv.gz; count=8
brand,Ayurveda,Ayurveda,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Azzaro,Azzaro,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Baanflora,Baanflora,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,baccide,baccide,brand,beauty,0.88,open_facts:en.openbeautyfacts.org.products.csv.gz; count=8
brand,BACTINYL,BACTINYL,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,BAJOLET Jean Luc,BAJOLET Jean Luc,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=6
brand,Balea,Balea,brand,beauty,0.91,open_facts:en.openbeautyfacts.org.products.csv.gz; count=62
brand,Balia,Balia,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Balireine,Balireine,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Barnängen,Barnängen,brand,beauty,0.88,open_facts:en.openbeautyfacts.org.products.csv.gz; count=10
brand,Barre Crisp Coco RNPC,Barre Crisp Coco RNPC,brand,beauty,0.86,open_facts:en.openproductsfacts.org.products.csv.gz; count=2
brand,Basler,Basler,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Batiste,Batiste,brand,beauty,0.88,open_facts:en.openbeautyfacts.org.products.csv.gz; count=8
brand,Baïja,Baïja,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,BBE NATURE,BBE NATURE,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Beaphar,Beaphar,brand,beauty,0.88,open_facts:en.openbeautyfacts.org.products.csv.gz; count=12
brand,Beardilizer,Beardilizer,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Beau Terra,Beau Terra,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=6
brand,Beauterra,Beauterra,brand,beauty,0.89,open_facts:en.openbeautyfacts.org.products.csv.gz; count=16
brand,beauty & planet,beauty & planet,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Beauty sucess,Beauty sucess,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Bebebiafine,Bebebiafine,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Beiersdorf AG,Beiersdorf AG,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
